"Sm_Messstelle","Sm_DatumZeit","Sm_schnee"
1,2012-12-01,50
1,2012-12-02,55
1,2012-12-03,47
1,2012-12-04,49
1,2012-12-05,60
1,2012-12-06,62
1,2012-12-07,59
1,2012-12-08,61
1,2012-12-09,49
1,2012-12-10,58
1,2012-12-11,72
1,2012-12-12,74
1,2012-12-13,75
1,2012-12-14,81
1,2012-12-15,86
1,2012-12-16,78
1,2012-12-17,81
1,2012-12-18,80
1,2012-12-19,85
1,2012-12-20,83
1,2012-12-21,81
1,2012-12-22,95
1,2012-12-23,101
1,2012-12-24,114
1,2012-12-25,127
1,2012-12-26,139
1,2012-12-27,158
1,2012-12-28,155
1,2012-12-29,159
1,2012-12-30,155
1,2012-12-31,155
1,2013-01-01,157
1,2013-01-02,169
1,2013-01-03,179
1,2013-01-04,192
1,2013-01-05,199
1,2013-01-06,213
1,2013-01-07,220
1,2013-01-08,233
1,2013-01-09,239
1,2013-01-10,249
1,2013-01-11,256
1,2013-01-12,272
1,2013-01-13,278
1,2013-01-14,288
1,2013-01-15,299
1,2013-01-16,309
1,2013-01-17,320
1,2013-01-18,334
1,2013-01-19,345
1,2013-01-20,347
1,2013-01-21,356
1,2013-01-22,363
1,2013-01-23,363
1,2013-01-24,364
1,2013-01-25,363
1,2013-01-26,355
1,2013-01-27,360
1,2013-01-28,358
1,2013-01-29,365
1,2013-01-30,359
1,2013-01-31,356
1,2013-02-01,346
1,2013-02-02,333
1,2013-02-03,322
1,2013-02-04,310
1,2013-02-05,296
1,2013-02-06,278
1,2013-02-07,272
1,2013-02-08,256
1,2013-02-09,247
1,2013-02-10,234
1,2013-02-11,220
1,2013-02-12,204
1,2013-02-13,191
1,2013-02-14,178
1,2013-02-15,169
1,2013-02-16,153
1,2013-02-17,169
1,2013-02-18,189
1,2013-02-19,206
1,2013-02-20,225
1,2013-02-21,245
1,2013-02-22,256
1,2013-02-23,254
1,2013-02-24,252
1,2013-02-25,255
1,2013-02-26,251
1,2013-02-27,248
1,2013-02-28,252
1,2013-03-01,252
1,2013-03-02,233
1,2013-03-03,215
1,2013-03-04,213
1,2013-03-05,196
1,2013-03-06,185
1,2013-03-07,183
1,2013-03-08,167
1,2013-03-09,162
1,2013-03-10,147
1,2013-03-11,134
1,2013-03-12,131
1,2013-03-13,121
1,2013-03-14,122
1,2013-03-15,122
1,2013-03-16,118
