"S_ID","S_Bundesland","S_Name","OrteimGebiet","Tourismusregion","Schiverbund","seehoehevon","seehoehebis","Pistenkm","S_gondeln","S_sessel","S_schlepp"
1,"Ktn","Ankogel-Mallnitz","Mallnitz","","",1287,2636,30,2,0,4
2,"Ktn","Bad Kleinkirchheim","Bad Kleinkirchheim","","",1350,2043,95,4,4,18
3,"Ktn","Dreiländereck Bergbahnen","Arnoldstein","","",680,1600,17,0,1,8
4,"Ktn","Emberger Alm","Berg im Drautal","","",1600,2250,10,0,0,5
5,"Ktn","Falkert","Falkert","","",1870,2308,9,0,0,5
6,"Ktn","Flattnitz","Metnitz","","",750,1400,10,0,1,2
7,"Ktn","Gerlitzen","Sattendorf","","",504,1911,26,1,6,7
8,"Ktn","Gitschtal","Weißbriach","","",820,1150,4,0,0,3
9,"Ktn","Goldeck","Spittal an der Drau","","",556,2142,22,2,1,5
10,"Ktn","Innerkrems-Schönfeld-Karneralm","Kremsbrücke, Ramingstein","","",1500,2266,60,0,2,12
11,"Ktn","Katschberg-Aineck","Rennweg, St. Margarethen im Lungau","","",1100,2220,60,0,6,9
12,"Ktn","Klippitztörl","Klippitztörl","","",1530,1818,28,0,2,4
13,"Ktn","Koralpe-Schiregion Süd","St. Stefan im Lavanttal, Wolfsberg","","",1600,2100,26,0,1,5
14,"Ktn","Kötschach-Mauthen","Kötschach-Mauthen","","",700,1400,6,0,1,3
15,"Ktn","Mölltaler Gletscher","Flattach","","",2250,3122,50,2,4,3
16,"Ktn","Nassfeld","Hermagor","","",1300,2000,101,5,7,18
17,"Ktn","Petzen","Feistritz ob Bleiburg","","",600,1700,26,1,0,4
18,"Ktn","[Simonhöhe]","St. Urban","","",750,1340,15,0,1,8
19,"Ktn","Sirnitz-Hochrindl","Sirnitz","","",1400,1800,15,0,1,5
20,"Ktn","Heiligenblut","Heiligenblut","","",1301,2902,55,3,1,10
21,"Ktn","Turracher Höhe","Reichenau, Turrach","","",1400,2200,33,0,4,8
22,"Ktn","Verditz-Gerlitzen","Afritz","","",700,2000,16,0,3,1
23,"Ktn","Weinebene","St. Gertraud, Deutschlandsberg","","",1580,1886,22,0,0,6
24,"Ktn","Weissensee","Weissensee","","",930,1324,6,0,1,4
25,"Noe","Annaberg","Annaberg","","",800,1400,15,0,3,6
26,"Noe","Arabichl","Kirchberg am Wechsel","","",1350,1593,4,0,0,1
27,"Noe","Arralifte","Harmanschlag","","",740,850,4,0,0,3
28,"Noe","Eibllifte*","Türnitz","","",560,1007,12,0,1,3
29,"Noe","Furtnerlifte","Rohr im Gebirge","","",800,927,,0,0,3
30,"Noe","Gemeindealpe","Mitterbach","","",800,1626,,0,2,1
31,"Noe","Hochkar","Göstling an der Ybbs","","",1480,1808,18.6,0,6,3
32,"Noe","Jauerling","Oberndorf am Jauerling","","",855,959,1,0,0,1
33,"Noe","Königsberg","Hollenstein an der Ybbs","","",715,1078,12,0,0,6
34,"Noe","Lackenhof-Ötscher","Lackenhof","","",810,1510,19,0,3,5
35,"Noe","Losenheim","Puchberg am Schneeberg","","",577,1222,8,0,1,1
36,"Noe","Maiszinken","Lunz am See","","",790,1030,5,0,0,2
37,"Noe","Mönichkirchen-Mariensee","Mönichkirchen","","",870,1450,13,0,3,1
38,"Noe","Steinberglift","Neusiedl an der Zaya","","",175,200,0.6,0,0,1
39,"Noe","Raxalpe","Reichenau an der Rax","","",528,1600,3,1,0,1
40,"Noe","Hirschenkogel","Semmering","","",1000,1340,14,1,1,1
