"ABTV";"Abteilungsvorstand";;;"I";;;;;;;;;"L1";1.16700;"Entl.";;;;;;;
"AINF";"Angew. Informatik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"AM";"ANGEW. MATHEMATIK";;;;;;;;;;;;"L1";1.16700;;"B";;;;;;
"AM-E";"Mathematik ESF";;;;;;;;;;;;"L1";1.16700;;;;;;"AM";;
"AMEC";"Angewandte Mechatronik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"AMECx";"Angewandte Mechatronik X-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"AMEC";;
"AMECy";"Angewandte Mechatronik Y-GRuppe";;;;;;;;;;;;"L1";1.16700;;;;;;"AMEC";;
"AMx";"ANGEW. MATHEMATIK";;;;;;;;;;;;"L1";1.16700;;"B";0;8454143;;"AM";;
"AMx-E";"Mathematik ESF x";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"AM";;
"AMy";"ANGEW. MATHEMATIK";;;;;;;;;;;;"L1";1.16700;;"B";0;8454143;;"AM";;
"AMy-E";"Mathematik ESF y";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"AM";;
"AMz";"ANGEW. MATHEMATIK";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"AM";;
"ANME";"Angewandte Mechatronik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"AP4";"Atelier und Produktion";;;;;;;;;;;;"L4";0.91300;;;0;59555;;"PTW";;
"APT1";"Anlagen- und Prüftechnik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"AUFSICHT";"Aufsicht";;;;;;;;;;;;"L3H";0.52500;;;;;;;;
"AW5A";"ATELIER U. WERKST.";;;;;;;;;;;;"L5A";0.82500;;;0;8454016;;;;
"BADV";"BETR.ANWENDUNGEN";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"BADVx";"Betriebl. Anw. d. Datenverarb.";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"BADV";;
"BADVy";"Betriebl. Anw. d. Datenverarb.";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"BADV";;
"BAP";"Wahlpflichtgegenstand Business Applications";;;;;;;;;;;;"L1";1.16700;;;;;;"TINF_1";;
"BEHB";"Sonderpädagogische Förderung";;;;;;;;;;;;"L99";1.00000;;;;;;"BEH";;
"BESP";"Bewegung und Sport";;;;;;;;;;;;"L4A";0.95500;;;0;16744576;;;;
"BESPK";"Bewegung und Sport";;;;;;;;;;;;"L4A";0.95500;;;0;16744576;;"BESP";;
"BET";"Betriebstechnik";;;;;;;;;;;;"L1";1.16700;;;;;;"BET";;
"BET2";"Betriebstechnik";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"BETP_2";"Betriebstechnik und Projekte";;;;;;;;;;;;"L2";1.10500;;;;;;"BETP_2";;
"BETP_2x";"Betriebstechnik und Projekte x-Gruppe";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"BETP_2";;
"BETP_2y";"Betriebstechnik und Projekte y-Gruppe";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"BETP_2";;
"BIB";"BILDUNGSBER.ZUS.T.";;;"I";;;;;;;;;"L2";1.10500;"Kust";;;;;;;
"BIBL";"Bibliothek";;;;;;;;;;;;"LX";0.00000;;;0;12632256;;;;
"BIST";"Bildungsstandards";;;"I";;;;;;;;;"L99";1.00000;;;;;;;;
"BMG2";"Biologie, Medizin und Gesundheitswesen";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"BMSV";"Biomedizinische Signalverarbeitung";;;;;;;;;;;;"L1";1.16700;;;;;;"BLA";;
"BMSVx";"Biomedizinische Signalverarbeitung, x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"BLA";;
"BMSVy";"Biomedizinische Signalverarbeitung, y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"BLA";;
"BOW";"Biologie, Ökologie und Warenlehre";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"BSPK";"Bewegung und Sport - Knaben";;;;;;;;;;;;"L4A";0.95500;;;0;16744576;;;;
"BSPKx";"Bewegung und Sport - Knaben X-Gruppe";;;;;;;;;;;;"L4A";0.95500;;;0;16744576;;"BSPK";;
"BSPKy";"Bewegung und Sport - Knaben Y-Gruppe";;;;;;;;;;;;"L4A";0.95500;;;0;16744576;;"BSPK";;
"BSPM";"Bewegung und Sport - Mädchen";;;;;;;;;;;;"L4A";0.95500;;;0;16744576;;;;
"BWM";"Betriebswirtschaft und Management";;;;;;;;;;;;"L2";1.10500;;;;;;"BWM_2";;
"BWM1";"Betriebswirtschaft und Management";;;;;;;;;;;;"L1";1.16700;;;;;;"BWM_1";;
