2;"4AHIF";"SWA";"GGPB";"C4.08";3;7;;
3;"1CHIF";"BIM";"BWM2";"C5.09";2;4;;
3;"1CHIF";"BIM";"BWM2";"C5.09";2;5;;
4;"1EHIF";"BEP";"BWM2";"C1.13";2;7;;
4;"1EHIF";"BEP";"BWM2";"C1.13";3;7;;
5;"2AFITN";"LAP";"GGP";"C5.07";1;7;;
6;"2AFITN";"HL";"BETP_2";"B5.07";1;1;;
6;"2AFITN";"HL";"BETP_2";"B5.07";2;2;;
7;"2AFITN";"FAL";"DUK";"B5.07";2;5;;
7;"2AFITN";"FAL";"DUK";"B5.07";2;6;;
7;"2AFITN";"FAL";"DUK";"B5.07";5;5;;
8;"2AFITN";"BIG";"UNF";"B5.07";4;1;;
8;"2AFITN";"BIG";"UNF";"B5.07";4;2;;
9;"2DHIF";"KNM";"POS1";"C3.11";4;1;;
9;"2DHIF";"KNM";"POS1";"C3.11";4;2;;
11;"1AFITN";"TK";"GGP";"C2.14";1;8;;
11;"1AFITN";"TK";"GGP";"C2.14";2;7;;
12;"1CHIF";"HOT";"GGP";"C5.09";2;1;;
12;"1CHIF";"HOT";"GGP";"C5.09";2;2;;
14;"2AHIF";"FM";"AM";"A2.14";1;6;;
14;"2AHIF";"FM";"AM";"A2.14";1;7;;
14;"2AHIF";"FM";"AM";"C4.10";4;7;;
15;"2CHIF";"BES";"AM";"C5.08";1;6;;
15;"2CHIF";"BES";"AM";"C5.08";4;5;;
15;"2CHIF";"BES";"AM";"C5.08";4;6;;
16;"2DHIF";"SB";"AM";"C3.11";1;6;;
16;"2DHIF";"SB";"AM";"C3.11";3;1;;
16;"2DHIF";"SB";"AM";"C3.11";3;2;;
17;"2BHIF";"BOM";"AM";"C3.07";2;1;;
17;"2BHIF";"BOM";"AM";"C3.07";2;2;;
17;"2BHIF";"BOM";"AM";"C3.07";4;4;;
3776;"1CHIF";"MOS";"NW2";"AH.32";1;1;;
3776;"1CHIF";"MOS";"NW2";"AH.32";1;2;;
3776;"1CHIF";"MOS";"NW2";"C4.14";5;5;;
18;"1CHIF";"MOS";"NW2";"AH.32";1;1;;
18;"1CHIF";"MOS";"NW2";"AH.32";1;2;;
18;"1CHIF";"MOS";"NW2";"C5.10";5;5;;
19;"1BHIF";"BOM";"NW2";"C4.14";1;3;;
19;"1BHIF";"BOM";"NW2";"C1.13";5;7;;
19;"1BHIF";"BOM";"NW2";"C1.13";5;8;;
20;"1EHIF";"KOE";"NW2";"C1.13";1;2;;
20;"1EHIF";"KOE";"NW2";"C1.13";1;3;;
20;"1EHIF";"KOE";"NW2";"C1.13";4;2;;
21;"2AHIF";"WAA";"NW2";"DE.03";2;1;;
21;"2AHIF";"WAA";"NW2";"DE.03";2;2;;
21;"2AHIF";"WAA";"NW2";"C3.09";3;2;;
22;"1BHIF";"BEP";"BWM1";"C4.14";1;4;;
22;"1BHIF";"BEP";"BWM1";"C4.14";3;4;;
23;"1EHIF";"BEP";"BWM1";"C1.13";2;1;;
23;"1EHIF";"BEP";"BWM1";"C1.13";2;2;;
24;"2AHIF";"GC";"BWM3";"C3.09";2;6;;
26;"2BHIF";"ENU";"BWM2";"C3.07";1;3;;
26;"2BHIF";"ENU";"BWM2";"C3.07";4;3;;
27;"3BHIF";"STJ";"BWM1";"C4.07";3;1;;
27;"3BHIF";"STJ";"BWM1";"C4.07";3;2;;
28;"2CHIF";"GC";"BWM3";"C5.08";2;1;;
29;"1BHIF";"STC";"CABS_1";"C4.14";2;2;;
30;"1CHIF";"HOV";"CABS_1";"C4.10";4;4;;
31;"1EHIF";"STC";"CABS_1";"C1.13";1;7;;
4279;"2CHIF";"KNM";"POS1";"C5.08";2;4;;
4279;"2CHIF";"KNM";"POS1";"C5.08";2;5;;
4013;"2DHIF";"DOM";"NSCS_1";"B3.11NW";3;5;;
4013;"2DHIF";"DOM";"NSCS_1";"B3.11NW";3;6;;
33;"2DHIF";"DOM";"NSCS_1";"C2.06";3;5;;
33;"2DHIF";"DOM";"NSCS_1";"C3.10";3;6;;
34;"2DHIF";"DOM";"NSCS_1x";"B3.11NW";3;5;;
34;"2DHIF";"DOM";"NSCS_1x";"B3.11NW";3;6;;
34;"2DHIF";"KEM";"NSCS_1y";"B3.11NW";3;5;;
34;"2DHIF";"KEM";"NSCS_1y";"B3.11NW";3;6;;
4278;"2BHIF";"BOM";"POS1";"C3.07";4;1;;
4278;"2BHIF";"BOM";"POS1";"C3.07";4;2;;
36;"1AHIF";"POP";"GGP";"C1.17";3;1;;
36;"1AHIF";"POP";"GGP";"C1.17";5;6;;
37;"2AHIF";"NAI";"GGPB";"C3.09";1;5;;
37;"2AHIF";"NAI";"GGPB";"C3.09";3;6;;
38;"2CHIF";"MUE";"GGPB";"C5.08";3;2;;
38;"2CHIF";"MUE";"GGPB";"C5.08";3;3;;
46;"2AHIF";"LC";"POS1";"C3.09";4;4;;
47;"2CHIF";"MIP";"WMC_1";"C5.08";5;7;;
47;"2CHIF";"MIP";"WMC_1";"C5.08";5;8;;
48;"2DHIF";"MIP";"WMC_1";"C3.14";5;9;;
48;"2DHIF";"MIP";"WMC_1";"C3.14";5;10;;
49;"1AHIF";"SAK";"BWM2";"C1.17";2;7;;
49;"1AHIF";"SAK";"BWM2";"C1.17";2;8;;
50;"1BHIF";"BEP";"BWM2";"C4.14";2;6;;
50;"1BHIF";"BEP";"BWM2";"C1.13";5;4;;
51;"2AHIF";"GC";"BWM1";"C3.09";5;5;;
52;"2BHIF";"ENU";"BWM1";"C3.07";3;5;;
53;"2DHIF";"STJ";"BWM3";"C3.11";4;3;;
54;"4AHIF";"BIM";"BWM3";"C4.08";1;3;;
55;"2CHIF";"FRF";"BWM2";"C5.08";1;4;;
55;"2CHIF";"FRF";"BWM2";"C5.08";2;3;;
56;"1AVIF";"PUA";"GINF";"B3.08MF";3;13;;
56;"1AVIF";"PUA";"GINF";"B3.08MF";3;14;;
57;"2AFITN";"RRN";"SYT";"C4.07";2;7;;
